"K00001","alcohol dehydrogenase [EC:1.1.1.1]"
"K13940","dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:4.1.2.25 2.7.6.3]"
"K14155","cystathione beta-lyase [EC:4.4.1.8]"
"K14260","alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]"
"K14982","two-component system, OmpR family, sensor histidine kinase CiaH [EC:2.7.13.3]"
"K15125","filamentous hemagglutinin"
"K15580","oligopeptide transport system substrate-binding protein"
"K15581","oligopeptide transport system permease protein"
"K15582","oligopeptide transport system permease protein"
"K15583","oligopeptide transport system ATP-binding protein"
"K15598","putative hydroxymethylpyrimidine transport system substrate-binding protein"
"K15599","putative hydroxymethylpyrimidine transport system permease protein"
"K15600","putative hydroxymethylpyrimidine transport system ATP-binding protein"
"K15634","probable phosphoglycerate mutase [EC:5.4.2.12]"
"K15770","arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein"
"K15986","manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]"
"K16066","3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-]"
"K16554","polysaccharide biosynthesis transport protein"
"K16692","tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]"
"K16785","energy-coupling factor transport system permease protein"
"K16786","energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]"
"K16787","energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]"
"K17686","Cu+-exporting ATPase [EC:3.6.3.54]"
"K17828","dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]"
"K18344","two-component system, OmpR family, response regulator VanR"
"K18704","CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47]"
"K18889","ATP-binding cassette, subfamily B, multidrug efflux pump"
"K18890","ATP-binding cassette, subfamily B, multidrug efflux pump"
"K18941","two-component system, OmpR family, response regulator ArlR"
"K18986","two-component system, OmpR family, sensor kinase Ihk [EC:2.7.13.3]"
"K19002","1,2-diacylglycerol 3-alpha-glucosyltransferase [EC:2.4.1.337]"
"K19081","two-component system, OmpR family, sensor histidine kinase BraS/BceS [EC:2.7.13.3]"
"K19285","FMN reductase (NADPH) [EC:1.5.1.38]"
"K19302","undecaprenyl-diphosphatase [EC:3.6.1.27]"
"K20108","PTS system, maltose-specific IIC component"
"K20276","large repetitive protein"
"K20344","ATP-binding cassette, subfamily C, bacteriocin exporter"
"K20373","HTH-type transcriptional regulator, SHP2-responsive activator"
"K20374","HTH-type transcriptional regulator, SHP3-responsive repressor"
"K20487","two-component system, OmpR family, lantibiotic biosynthesis sensor histidine kinase NisK/SpaK [EC:2.7.13.3]"
"K20488","two-component system, OmpR family, lantibiotic biosynthesis response regulator NisR/SpaR"
"K20861","FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]"
"K21064","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"
"K21147","sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]"
"K21636","ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]"
"K22230","scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.-]"
"K22305","phosphoserine phosphatase [EC:3.1.3.3]"
"K22391","GTP cyclohydrolase I [EC:3.5.4.16]"
