"K00001","alcohol dehydrogenase [EC:1.1.1.1]"
"K11752","diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]"
"K11753","riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]"
"K11754","dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]"
"K11904","type VI secretion system secreted protein VgrG"
"K12373","hexosaminidase [EC:3.2.1.52]"
"K12410","NAD-dependent deacetylase [EC:3.5.1.-]"
"K12983","UDP-glucose:(glucosyl)LPS beta-1,3-glucosyltransferase [EC:2.4.1.-]"
"K13038","phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]"
"K13525","transitional endoplasmic reticulum ATPase"
"K14155","cystathione beta-lyase [EC:4.4.1.8]"
"K14645","serine protease [EC:3.4.21.-]"
"K14652","3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]"
"K15125","filamentous hemagglutinin"
"K15580","oligopeptide transport system substrate-binding protein"
"K15582","oligopeptide transport system permease protein"
"K15583","oligopeptide transport system ATP-binding protein"
"K15634","probable phosphoglycerate mutase [EC:5.4.2.12]"
"K16066","3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-]"
"K16148","alpha-maltose-1-phosphate synthase [EC:2.4.1.342]"
"K16363","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]"
"K16692","tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]"
"K16785","energy-coupling factor transport system permease protein"
"K16786","energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]"
"K16787","energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]"
"K17686","Cu+-exporting ATPase [EC:3.6.3.54]"
"K18139","outer membrane protein, multidrug efflux system"
"K18704","CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47]"
"K19270","sugar-phosphatase [EC:3.1.3.23]"
"K19302","undecaprenyl-diphosphatase [EC:3.6.1.27]"
"K19353","heptose-I-phosphate ethanolaminephosphotransferase [EC:2.7.8.-]"
"K19354","heptose III glucuronosyltransferase [EC:2.4.1.-]"
"K20276","large repetitive protein"
"K20971","two-component system, sensor histidine kinase LadS"
"K21064","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]"
"K21147","sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]"
"K21636","ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]"
"K22230","scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.-]"
"K22305","phosphoserine phosphatase [EC:3.1.3.3]"
"K22391","GTP cyclohydrolase I [EC:3.5.4.16]"
