"K00001" "alcohol dehydrogenase [EC:1.1.1.1]"
"K03522" "electron transfer flavoprotein alpha subunit"
"K03523" "biotin transport system substrate-specific component"
"K03524" "BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]"
"K03525" "type III pantothenate kinase [EC:2.7.1.33]"
"K03526" "(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]"
"K03527" "4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]"
"K03528" "cell division protein ZipA"
"K03529" "chromosome segregation protein"
"K03530" "DNA-binding protein HU-beta"
"K03531" "cell division protein FtsZ"
"K03532" "trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorC"
"K03533" "TorA specific chaperone"
"K03534" "L-rhamnose mutarotase [EC:5.1.3.32]"
"K03535" "MFS transporter, ACS family, glucarate transporter"
"K03536" "ribonuclease P protein component [EC:3.1.26.5]"
"K03543" "membrane fusion protein, multidrug efflux system"
"K03544" "ATP-dependent Clp protease ATP-binding subunit ClpX"
"K03545" "trigger factor"
"K03546" "DNA repair protein SbcC/Rad50"
"K03547" "DNA repair protein SbcD/Mre11"
"K03548" "putative permease"
"K03549" "KUP system potassium uptake protein"
"K03550" "holliday junction DNA helicase RuvA [EC:3.6.4.12]"
"K03551" "holliday junction DNA helicase RuvB [EC:3.6.4.12]"
"K03553" "recombination protein RecA"
"K03554" "recombination associated protein RdgC"
"K03555" "DNA mismatch repair protein MutS"
"K03556" "LuxR family transcriptional regulator, maltose regulon positive regulatory protein"
"K03557" "Fis family transcriptional regulator, factor for inversion stimulation protein"
"K03558" "membrane protein required for colicin V production"
"K03559" "biopolymer transport protein ExbD"
"K03560" "biopolymer transport protein TolR"
"K03561" "biopolymer transport protein ExbB"
"K03562" "biopolymer transport protein TolQ"
"K03563" "carbon storage regulator"
"K03564" "peroxiredoxin Q/BCP [EC:1.11.1.15]"
"K03565" "regulatory protein"
"K03566" "LysR family transcriptional regulator, glycine cleavage system transcriptional activator"
"K03567" "glycine cleavage system transcriptional repressor"
"K03568" "TldD protein"
"K03569" "rod shape-determining protein MreB and related proteins"
"K03570" "rod shape-determining protein MreC"
"K03571" "rod shape-determining protein MreD"
"K03572" "DNA mismatch repair protein MutL"
"K03573" "DNA mismatch repair protein MutH"
"K03574" "8-oxo-dGTP diphosphatase [EC:3.6.1.55]"
"K03575" "A/G-specific adenine glycosylase [EC:3.2.2.31]"
"K03576" "LysR family transcriptional regulator, regulator for metE and metH"
"K03577" "TetR/AcrR family transcriptional regulator, acrAB operon repressor"
"K03578" "ATP-dependent helicase HrpA [EC:3.6.4.13]"
"K03579" "ATP-dependent helicase HrpB [EC:3.6.4.13]"
"K03580" "ATP-dependent helicase HepA [EC:3.6.4.-]"
"K03581" "exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]"
"K03582" "exodeoxyribonuclease V beta subunit [EC:3.1.11.5]"
"K03583" "exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]"
"K03584" "DNA repair protein RecO (recombination protein O)"
"K03585" "membrane fusion protein, multidrug efflux system"
"K03586" "cell division protein FtsL"
"K03587" "cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]"
"K03588" "cell division protein FtsW"
"K03589" "cell division protein FtsQ"
"K03590" "cell division protein FtsA"
"K03591" "cell division protein FtsN"
"K03592" "PmbA protein"
"K03593" "ATP-binding protein involved in chromosome partitioning"
"K03594" "bacterioferritin [EC:1.16.3.1]"
"K03595" "GTPase"
"K03596" "GTP-binding protein LepA"
"K03597" "sigma-E factor negative regulatory protein RseA"
"K03598" "sigma-E factor negative regulatory protein RseB"
"K03599" "stringent starvation protein A"
"K03600" "stringent starvation protein B"
"K03601" "exodeoxyribonuclease VII large subunit [EC:3.1.11.6]"
"K03602" "exodeoxyribonuclease VII small subunit [EC:3.1.11.6]"
"K03603" "GntR family transcriptional regulator, negative regulator for fad regulon and positive regulator of fabA"
"K03604" "LacI family transcriptional regulator, purine nucleotide synthesis repressor"
"K03605" "hydrogenase maturation protease [EC:3.4.23.-]"
"K03606" "putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase"
"K03607" "ProP effector"
"K03608" "cell division topological specificity factor"
"K03609" "septum site-determining protein MinD"
"K03610" "septum site-determining protein MinC"
"K03611" "disulfide bond formation protein DsbB"
"K03612" "electron transport complex protein RnfG"
"K03613" "electron transport complex protein RnfE"
"K03614" "electron transport complex protein RnfD"
"K03615" "electron transport complex protein RnfC"
"K03616" "electron transport complex protein RnfB"
"K03617" "electron transport complex protein RnfA"
"K03618" "hydrogenase-1 operon protein HyaF"
"K03619" "hydrogenase-1 operon protein HyaE"
"K03620" "Ni/Fe-hydrogenase 1 B-type cytochrome subunit"
"K03621" "glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15]"
"K03623" "ribonuclease inhibitor"
"K03624" "transcription elongation factor GreA"
"K03625" "N utilization substance protein B"
"K03628" "transcription termination factor Rho"
"K03629" "DNA replication and repair protein RecF"
"K03630" "DNA repair protein RadC"
"K03631" "DNA repair protein RecN (Recombination protein N)"
"K03632" "chromosome partition protein MukB"
"K03633" "chromosome partition protein MukF"
"K03634" "outer membrane lipoprotein carrier protein"
"K03635" "molybdopterin synthase catalytic subunit [EC:2.8.1.12]"
"K03636" "sulfur-carrier protein"
"K03637" "cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]"
"K03638" "molybdopterin adenylyltransferase [EC:2.7.7.75]"
"K03639" "GTP 3,8-cyclase [EC:4.1.99.22]"
"K03640" "peptidoglycan-associated lipoprotein"
"K03641" "TolB protein"
"K03642" "rare lipoprotein A"
"K03643" "LPS-assembly lipoprotein"
"K03644" "lipoyl synthase [EC:2.8.1.8]"
"K03645" "negative modulator of initiation of replication"
"K03646" "colicin import membrane protein"
"K03647" "protein involved in ribonucleotide reduction"
"K03648" "uracil-DNA glycosylase [EC:3.2.2.27]"
"K03649" "double-stranded uracil-DNA glycosylase [EC:3.2.2.28]"
"K03650" "tRNA modification GTPase [EC:3.6.-.-]"
"K03651" "3,5-cyclic-AMP phosphodiesterase [EC:3.1.4.53]"
"K03652" "DNA-3-methyladenine glycosylase [EC:3.2.2.21]"
"K03653" "N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]"
"K03654" "ATP-dependent DNA helicase RecQ [EC:3.6.4.12]"
"K03655" "ATP-dependent DNA helicase RecG [EC:3.6.4.12]"
"K03656" "ATP-dependent DNA helicase Rep [EC:3.6.4.12]"
"K03657" "DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]"
"K03658" "DNA helicase IV [EC:3.6.4.12]"
"K03660" "N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]"
"K03664" "SsrA-binding protein"
"K03665" "GTPase"
"K03666" "host factor-I protein"
"K03667" "ATP-dependent HslUV protease ATP-binding subunit HslU"
"K03668" "heat shock protein HslJ"
"K03669" "membrane glycosyltransferase [EC:2.4.1.-]"
"K03670" "periplasmic glucans biosynthesis protein"
"K03671" "thioredoxin 1"
"K03672" "thioredoxin 2 [EC:1.8.1.8]"
"K03673" "thiol:disulfide interchange protein DsbA"
"K03674" "glutaredoxin 1"
"K03675" "glutaredoxin 2"
"K03676" "glutaredoxin 3"
"K03683" "ribonuclease T [EC:3.1.13.-]"
"K03684" "ribonuclease D [EC:3.1.13.5]"
"K03685" "ribonuclease III [EC:3.1.26.3]"
"K03686" "molecular chaperone DnaJ"
"K03687" "molecular chaperone GrpE"
"K03688" "ubiquinone biosynthesis protein"
"K03690" "ubiquinone biosynthesis protein UbiJ"
"K03692" "glucosylglycerol-phosphate synthase [EC:2.4.1.213]"
"K03693" "penicillin-binding protein 1B"
"K03694" "ATP-dependent Clp protease ATP-binding subunit ClpA"
"K03695" "ATP-dependent Clp protease ATP-binding subunit ClpB"
"K03696" "ATP-dependent Clp protease ATP-binding subunit ClpC"
"K03697" "ATP-dependent Clp protease ATP-binding subunit ClpE"
"K03698" "3-5 exoribonuclease [EC:3.1.-.-]"
"K03699" "putative hemolysin"
"K03700" "recombination protein U"
"K03701" "excinuclease ABC subunit A"
"K03702" "excinuclease ABC subunit B"
"K03703" "excinuclease ABC subunit C"
"K03704" "cold shock protein (beta-ribbon, CspA family)"
"K03705" "heat-inducible transcriptional repressor"
"K03706" "transcriptional pleiotropic repressor"
"K03707" "thiaminase (transcriptional activator TenA) [EC:3.5.99.2]"
"K03708" "transcriptional regulator of stress and heat shock response"
"K03709" "DtxR family transcriptional regulator, Mn-dependent transcriptional regulator"
"K03710" "GntR family transcriptional regulator"
"K03711" "Fur family transcriptional regulator, ferric uptake regulator"
"K03712" "MarR family transcriptional regulator, multiple antibiotic resistance protein MarR"
"K03713" "MerR family transcriptional regulator, glutamine synthetase repressor"
"K03715" "1,2-diacylglycerol 3-beta-galactosyltransferase [EC:2.4.1.46]"
"K03716" "spore photoproduct lyase [EC:4.1.99.14]"
"K03717" "LysR family transcriptional regulator, transcriptional activator of nhaA"
"K03718" "Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA"
"K03719" "Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
"K03720" "TrpR family transcriptional regulator, trp operon repressor"
"K03721" "transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport"
"K03722" "ATP-dependent DNA helicase DinG [EC:3.6.4.12]"
"K03723" "transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-]"
"K03724" "ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]"
"K03726" "helicase [EC:3.6.4.-]"
"K03727" "ATP-dependent RNA helicase HelY [EC:3.6.4.-]"
"K03731" "trehalose 6-phosphate phosphorylase [EC:2.4.1.216]"
"K03732" "ATP-dependent RNA helicase RhlB [EC:3.6.4.13]"
"K03733" "integrase/recombinase XerC"
"K03734" "FAD:protein FMN transferase [EC:2.7.1.180]"
"K03735" "ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]"
"K03736" "ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]"
"K03737" "pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]"
"K03738" "aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]"
"K03739" "membrane protein involved in D-alanine export"
"K03740" "D-alanine transfer protein"
"K03741" "arsenate reductase [EC:1.20.4.1]"
"K03742" "nicotinamide-nucleotide amidase [EC:3.5.1.42]"
"K03743" "nicotinamide-nucleotide amidase [EC:3.5.1.42]"
"K03744" "LemA protein"
"K03745" "SlyX protein"
"K03746" "DNA-binding protein H-NS"
"K03747" "Smg protein"
"K03748" "SanA protein"
"K03749" "DedD protein"
"K03750" "molybdopterin molybdotransferase [EC:2.10.1.1]"
"K03752" "molybdenum cofactor guanylyltransferase [EC:2.7.7.77]"
"K03753" "molybdopterin-guanine dinucleotide biosynthesis adapter protein"
"K03755" "AraC family transcriptional regulator, transcriptional activator of adiA"
"K03756" "putrescine:ornithine antiporter"
"K03757" "cadaverine:lysine antiporter"
"K03758" "arginine:ornithine antiporter / lysine permease"
"K03759" "arginine:agmatine antiporter"
"K03760" "lipid A ethanolaminephosphotransferase [EC:2.7.8.43]"
"K03761" "MFS transporter, MHS family, alpha-ketoglutarate permease"
"K03762" "MFS transporter, MHS family, proline/betaine transporter"
"K03763" "DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]"
"K03764" "MetJ family transcriptional regulator, methionine regulon repressor"
"K03765" "transcriptional activator of cad operon"
"K03767" "peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]"
"K03768" "peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]"
"K03769" "peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]"
"K03770" "peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]"
"K03771" "peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]"
"K03772" "FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]"
"K03773" "FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]"
"K03774" "FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]"
"K03775" "FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]"
"K03776" "aerotaxis receptor"
"K03777" "D-lactate dehydrogenase (quinone) [EC:1.1.5.12]"
"K03778" "D-lactate dehydrogenase [EC:1.1.1.28]"
"K03779" "L(+)-tartrate dehydratase alpha subunit [EC:4.2.1.32]"
"K03780" "L(+)-tartrate dehydratase beta subunit [EC:4.2.1.32]"
"K03781" "catalase [EC:1.11.1.6]"
"K03782" "catalase-peroxidase [EC:1.11.1.21]"
"K03783" "purine-nucleoside phosphorylase [EC:2.4.2.1]"
"K03784" "purine-nucleoside phosphorylase [EC:2.4.2.1]"
"K03785" "3-dehydroquinate dehydratase I [EC:4.2.1.10]"
"K03786" "3-dehydroquinate dehydratase II [EC:4.2.1.10]"
"K03787" "5-nucleotidase [EC:3.1.3.5]"
"K03788" "acid phosphatase (class B) [EC:3.1.3.2]"
"K03789" "[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]"
"K03790" "[ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]"
"K03791" "putative chitinase"
"K03793" "pteridine reductase [EC:1.5.1.33]"
"K03794" "sirohydrochlorin ferrochelatase [EC:4.99.1.4]"
"K03795" "sirohydrochlorin cobaltochelatase [EC:4.99.1.3]"
"K03796" "Bax protein"
"K03797" "carboxyl-terminal processing protease [EC:3.4.21.102]"
"K03798" "cell division protease FtsH [EC:3.4.24.-]"
"K03799" "heat shock protein HtpX [EC:3.4.24.-]"
"K03800" "lipoate---protein ligase [EC:6.3.1.20]"
"K03801" "lipoyl(octanoyl) transferase [EC:2.3.1.181]"
"K03802" "cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]"
"K03803" "sigma-E factor negative regulatory protein RseC"
"K03804" "chromosome partition protein MukE"
"K03805" "thiol:disulfide interchange protein DsbG"
"K03806" "N-acetyl-anhydromuramoyl-L-alanine amidase [EC:3.5.1.28]"
"K03807" "AmpE protein"
"K03808" "paraquat-inducible protein A"
"K03809" "NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"
"K03810" "virulence factor"
"K03811" "nicotinamide mononucleotide transporter"
"K03812" "ribosome modulation factor"
"K03813" "molybdenum transport protein [EC:2.4.2.-]"
"K03814" "monofunctional glycosyltransferase [EC:2.4.1.129]"
"K03815" "xanthosine phosphorylase [EC:2.4.2.-]"
"K03816" "xanthine phosphoribosyltransferase [EC:2.4.2.22]"
"K03817" "ribosomal-protein-serine acetyltransferase [EC:2.3.1.-]"
"K03818" "putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-]"
"K03819" "putative colanic acid biosynthesis acetyltransferase WcaB [EC:2.3.1.-]"
"K03820" "apolipoprotein N-acyltransferase [EC:2.3.1.-]"
"K03821" "polyhydroxyalkanoate synthase [EC:2.3.1.-]"
"K03822" "putative long chain acyl-CoA synthase [EC:6.2.1.-]"
"K03823" "phosphinothricin acetyltransferase [EC:2.3.1.183]"
"K03824" "putative acetyltransferase [EC:2.3.1.-]"
"K03825" "putative acetyltransferase [EC:2.3.1.-]"
"K03826" "putative acetyltransferase [EC:2.3.1.-]"
"K03827" "putative acetyltransferase [EC:2.3.1.-]"
"K03828" "putative acetyltransferase [EC:2.3.1.-]"
"K03829" "putative acetyltransferase [EC:2.3.1.-]"
"K03830" "putative acetyltransferase [EC:2.3.1.-]"
"K03831" "molybdopterin adenylyltransferase [EC:2.7.7.75]"
"K03832" "periplasmic protein TonB"
"K03833" "selenocysteine-specific elongation factor"
"K03834" "tyrosine-specific transport protein"
"K03835" "tryptophan-specific transport protein"
"K03836" "low affinity tryptophan permease"
"K03837" "serine transporter"
"K03838" "threonine transporter"
"K03839" "flavodoxin I"
"K03840" "flavodoxin II"
"K03841" "fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
"K03851" "taurine-pyruvate aminotransferase [EC:2.6.1.77]"
"K03852" "sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]"
"K03855" "ferredoxin like protein"
"K03856" "3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
"K03862" "vanillate monooxygenase [EC:1.14.13.82]"
"K03863" "vanillate monooxygenase ferredoxin subunit"
"K03867" "UDP-glucose:tetrahydrobiopterin glucosyltransferase [EC:2.4.1.-]"
"K03885" "NADH dehydrogenase [EC:1.6.99.3]"
"K03886" "menaquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.-]"
"K03887" "menaquinol-cytochrome c reductase cytochrome b subunit"
"K03888" "menaquinol-cytochrome c reductase cytochrome b/c subunit"
"K03889" "ubiquinol-cytochrome c reductase cytochrome c subunit"
"K03890" "ubiquinol-cytochrome c reductase iron-sulfur subunit"
"K03891" "ubiquinol-cytochrome c reductase cytochrome b subunit"
"K03892" "ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor"
"K03893" "arsenical pump membrane protein"
"K03894" "N2-citryl-N6-acetyl-N6-hydroxylysine synthase [EC:6.3.2.38]"
"K03895" "aerobactin synthase [EC:6.3.2.39]"
"K03896" "acetyl CoA:N6-hydroxylysine acetyl transferase [EC:2.3.1.102]"
"K03897" "lysine N6-hydroxylase [EC:1.14.13.59]"
"K03918" "L-lysine 6-transaminase [EC:2.6.1.36]"
"K03919" "DNA oxidative demethylase [EC:1.14.11.33]"
"K03921" "acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]"
"K03922" "acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2]"
"K03923" "modulator of drug activity B"
"K03924" "MoxR-like ATPase [EC:3.6.3.-]"
"K03925" "MraZ protein"
"K03926" "periplasmic divalent cation tolerance protein"
"K03928" "carboxylesterase [EC:3.1.1.1]"
"K03929" "para-nitrobenzyl esterase [EC:3.1.1.-]"
"K03930" "putative tributyrin esterase [EC:3.1.1.-]"
"K03931" "putative isomerase"
"K03932" "polyhydroxybutyrate depolymerase"
"K03933" "chitin-binding protein"
"K03969" "phage shock protein A"
"K03970" "phage shock protein B"
"K03971" "phage shock protein D"
"K03972" "phage shock protein E"
"K03973" "phage shock protein C"
"K03974" "psp operon transcriptional activator"
"K03975" "membrane-associated protein"
"K03976" "Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-]"
"K03977" "GTPase"
"K03978" "GTP-binding protein"
"K03979" "GTPase [EC:3.6.5.-]"
"K03980" "putative peptidoglycan lipid II flippase"
"K03981" "thiol:disulfide interchange protein DsbC [EC:5.3.4.1]"
"K04013" "cytochrome c-type protein NrfB"
"K04014" "protein NrfC"
"K04015" "protein NrfD"
"K04016" "cytochrome c-type biogenesis protein NrfE"
"K04017" "formate-dependent nitrite reductase complex subunit NrfF"
"K04018" "formate-dependent nitrite reductase complex subunit NrfG"
"K04019" "ethanolamine utilization protein EutA"
"K04020" "phosphotransacetylase"
"K04021" "aldehyde dehydrogenase"
"K04022" "alcohol dehydrogenase"
"K04023" "ethanolamine transporter"
"K04024" "ethanolamine utilization protein EutJ"
"K04025" "ethanolamine utilization protein EutK"
"K04026" "ethanolamine utilization protein EutL"
"K04027" "ethanolamine utilization protein EutM"
"K04028" "ethanolamine utilization protein EutN"
"K04029" "ethanolamine utilization protein EutP"
"K04030" "ethanolamine utilization protein EutQ"
"K04031" "ethanolamine utilization protein EutS"
"K04032" "ethanolamine utilization cobalamin adenosyltransferase [EC:2.5.1.17]"
"K04033" "AraC family transcriptional regulator, ethanolamine operon transcriptional activator"
"K04034" "anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3]"
"K04035" "magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]"
"K04036" "divinyl protochlorophyllide a 8-vinyl-reductase [EC:1.-.-.-]"
"K04037" "light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7]"
"K04038" "light-independent protochlorophyllide reductase subunit N [EC:1.3.7.7]"
"K04039" "light-independent protochlorophyllide reductase subunit B [EC:1.3.7.7]"
"K04040" "chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133]"
"K04041" "fructose-1,6-bisphosphatase III [EC:3.1.3.11]"
"K04042" "bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]"
"K04043" "molecular chaperone DnaK"
"K04044" "molecular chaperone HscA"
"K04045" "molecular chaperone HscC"
"K04046" "hypothetical chaperone protein"
"K04047" "starvation-inducible DNA-binding protein"
"K04049" "type III secretion protein B"
"K04050" "type III secretion protein E"
"K04051" "type III secretion protein G"
"K04052" "type III secretion protein H"
"K04053" "type III secretion protein I"
"K04054" "type III secretion protein K"
"K04055" "type III secretion protein M"
"K04056" "type III secretion protein O"
"K04057" "type III secretion protein P"
"K04058" "type III secretion protein W"
"K04059" "type III secretion protein X"
"K04060" "type III secretion protein Y"
"K04061" "flagellar biosynthesis protein"
"K04062" "osmotically inducible lipoprotein OsmB"
"K04063" "osmotically inducible protein OsmC"
"K04064" "osmotically inducible lipoprotein OsmE"
"K04065" "hyperosmotically inducible periplasmic protein"
"K04066" "primosomal protein N (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]"
"K04067" "primosomal replication protein N"
"K04068" "anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4]"
"K04069" "pyruvate formate lyase activating enzyme [EC:1.97.1.4]"
"K04070" "putative pyruvate formate lyase activating enzyme [EC:1.97.1.4]"
"K04072" "acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]"
"K04073" "acetaldehyde dehydrogenase [EC:1.2.1.10]"
"K04074" "cell division initiation protein"
"K04075" "tRNA(Ile)-lysidine synthase [EC:6.3.4.19]"
"K04076" "ATP-dependent Lon protease [EC:3.4.21.53]"
"K04077" "chaperonin GroEL"
"K04078" "chaperonin GroES"
"K04079" "molecular chaperone HtpG"
"K04080" "molecular chaperone IbpA"
"K04081" "molecular chaperone IbpB"
"K04082" "molecular chaperone HscB"
"K04083" "molecular chaperone Hsp33"
"K04084" "thiol:disulfide interchange protein DsbD [EC:1.8.1.8]"
"K04085" "tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-]"
"K04086" "ATP-dependent Clp protease ATP-binding subunit ClpL"
"K04087" "membrane protease subunit HflC [EC:3.4.-.-]"
"K04088" "membrane protease subunit HflK [EC:3.4.-.-]"
"K04090" "indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]"
"K04091" "alkanesulfonate monooxygenase [EC:1.14.14.5]"
"K04092" "chorismate mutase [EC:5.4.99.5]"
"K04093" "chorismate mutase [EC:5.4.99.5]"
"K04094" "methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]"
"K04095" "cell filamentation protein"
"K04096" "DNA processing protein"
"K04098" "hydroxyquinol 1,2-dioxygenase [EC:1.13.11.37]"
"K04099" "gallate dioxygenase [EC:1.13.11.57]"
"K04100" "protocatechuate 4,5-dioxygenase, alpha chain [EC:1.13.11.8]"
"K04101" "protocatechuate 4,5-dioxygenase, beta chain [EC:1.13.11.8]"
"K04102" "4,5-dihydroxyphthalate decarboxylase [EC:4.1.1.55]"
"K04103" "indolepyruvate decarboxylase [EC:4.1.1.74]"
"K04105" "4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25]"
"K04107" "4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.3.7.9]"
"K04108" "4-hydroxybenzoyl-CoA reductase subunit alpha [EC:1.3.7.9]"
"K04110" "benzoate-CoA ligase [EC:6.2.1.25]"
"K04112" "benzoyl-CoA reductase subunit C [EC:1.3.7.8]"
"K04114" "benzoyl-CoA reductase subunit A [EC:1.3.7.8]"
"K04115" "benzoyl-CoA reductase subunit D [EC:1.3.7.8]"
"K04116" "cyclohexanecarboxylate-CoA ligase [EC:6.2.1.-]"
"K04117" "cyclohexanecarboxyl-CoA dehydrogenase [EC:1.3.99.-]"
"K04118" "pimeloyl-CoA dehydrogenase [EC:1.3.1.62]"
"K04126" "isopenicillin-N synthase [EC:1.21.3.1]"
"K04127" "isopenicillin-N epimerase [EC:5.1.1.17]"
"K04128" "hydroxymethyl cephem carbamoyltransferase [EC:2.1.3.7]"
"K04333" "LuxR family transcriptional regulator, csgAB operon transcriptional regulatory protein"
"K04334" "major curlin subunit"
"K04335" "minor curlin subunit"
"K04336" "curli production protein"
"K04337" "curli production assembly/transport component CsgE"
"K04338" "curli production assembly/transport component CsgF"
"K04340" "scyllo-inosamine-4-phosphate amidinotransferase 1 [EC:2.1.4.2]"
"K04343" "streptomycin 6-kinase [EC:2.7.1.72]"
"K04477" "putative hydrolase"
"K04478" "monofunctional glycosyltransferase [EC:2.4.1.129]"
"K04479" "DNA polymerase IV (archaeal DinB-like DNA polymerase) [EC:2.7.7.7]"
"K04480" "methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90]"
"K04485" "DNA repair protein RadA/Sms"
"K04486" "histidinol-phosphatase (PHP family) [EC:3.1.3.15]"
"K04487" "cysteine desulfurase [EC:2.8.1.7]"
"K04488" "nitrogen fixation protein NifU and related proteins"
"K04496" "C-terminal binding protein"
"K04516" "chorismate mutase [EC:5.4.99.5]"
"K04517" "prephenate dehydrogenase [EC:1.3.1.12]"
"K04518" "prephenate dehydratase [EC:4.2.1.51]"
"K04561" "nitric oxide reductase subunit B [EC:1.7.2.5]"
"K04562" "flagellar biosynthesis protein FlhG"
"K04564" "superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"
"K04565" "superoxide dismutase, Cu-Zn family [EC:1.15.1.1]"
"K04566" "lysyl-tRNA synthetase, class I [EC:6.1.1.6]"
"K04567" "lysyl-tRNA synthetase, class II [EC:6.1.1.6]"
"K04568" "elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-]"
"K04618" "galactose oxidase [EC:1.1.3.9]"
"K04651" "hydrogenase nickel incorporation protein HypA/HybF"
"K04652" "hydrogenase nickel incorporation protein HypB"
"K04653" "hydrogenase expression/formation protein HypC"
"K04654" "hydrogenase expression/formation protein HypD"
"K04655" "hydrogenase expression/formation protein HypE"
"K04656" "hydrogenase maturation protein HypF"
"K04691" "serine protease DegS [EC:3.4.21.-]"
"K04708" "3-dehydrosphinganine reductase [EC:1.1.1.102]"
"K04712" "sphingolipid 4-desaturase/C4-monooxygenase [EC:1.14.19.17 1.14.18.5]"
"K04718" "sphingosine kinase [EC:2.7.1.91]"
"K04719" "5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]"
"K04720" "threonine-phosphate decarboxylase [EC:4.1.1.81]"
"K04739" "cAMP-dependent protein kinase regulator"
"K04744" "LPS-assembly protein"
"K04747" "nitric oxide reductase NorF protein"
"K04748" "nitric oxide reductase NorQ protein"
"K04749" "anti-sigma B factor antagonist"
"K04750" "PhnB protein"
"K04751" "nitrogen regulatory protein P-II 1"
"K04752" "nitrogen regulatory protein P-II 2"
"K04753" "suppressor of ftsI"
"K04754" "phospholipid-binding lipoprotein MlaA"
"K04755" "ferredoxin, 2Fe-2S"
"K04756" "alkyl hydroperoxide reductase subunit D"
"K04757" "serine/threonine-protein kinase RsbW [EC:2.7.11.1]"
"K04758" "ferrous iron transport protein A"
"K04759" "ferrous iron transport protein B"
"K04760" "transcription elongation factor GreB"
